Soil_Type,Footing_Type,Cohesion_c,Angle_of_Friction_phi,Unit_Weight_gamma,Depth_of_Foundation_Df,Width_B,Factor_of_Safety,Nc,Nq,N_gamma,Ultimate_Bearing_Capacity_qu,Safe_Bearing_Capacity_qs
Clayey Loam,Strip,22.41,30,18.99,2.31,1.45,2.5,30.14,18.4,22.4,1790.99,716.4
Silty Clay Loam,Combined,29.81,20,18.27,2.28,1.49,2.5,14.83,6.4,5.39,782.04,312.82
Alluvial,Isolated (Square),12.01,25,17.69,1.61,2.22,2.5,20.72,10.66,10.88,766.09,306.44
Silty Clay Loam,Isolated(Rectangular),21.5,20,17.63,2.28,2.95,3.0,14.83,6.4,5.39,716.26,238.75
Clayey Loam,Isolated (Square),15.58,25,18.44,1.87,1.0,2.5,20.72,10.66,10.88,790.72,316.29
Silty Clay Loam,Isolated(Circular),27.15,25,18.73,1.31,2.94,3.0,20.72,10.66,10.88,1123.67,374.56
Silty Clay Loam,Combined,10.44,25,17.4,1.99,2.9,3.0,20.72,10.66,10.88,859.93,286.64
Clayey Loam,Isolated(Circular),18.48,25,18.76,1.27,1.89,2.5,20.72,10.66,10.88,829.77,331.91
Clayey Loam,Combined,23.49,25,18.56,1.59,1.02,2.5,20.72,10.66,10.88,904.28,361.71
Alluvial,Isolated(Rectangular),15.68,30,17.78,1.12,1.49,2.5,30.14,18.4,22.4,1135.72,454.29
Alluvial,Combined,18.75,20,18.59,1.69,1.73,3.0,14.83,6.4,5.39,565.81,188.6
Alluvial,Isolated (Square),20.98,25,17.88,0.82,2.53,2.5,20.72,10.66,10.88,837.08,334.83
Clayey Loam,Isolated(Circular),19.51,25,17.91,1.13,1.73,2.5,20.72,10.66,10.88,788.54,315.42
Clayey Loam,Strip,19.83,30,17.88,1.87,2.69,2.5,30.14,18.4,22.4,1751.58,700.63
Alluvial,Combined,16.33,25,17.16,1.63,1.18,3.0,20.72,10.66,10.88,746.68,248.89
Silty Clay Loam,Combined,24.46,25,17.26,1.84,2.69,2.5,20.72,10.66,10.88,1097.93,439.17
Clayey Loam,Strip,11.86,20,17.78,1.75,1.43,2.5,14.83,6.4,5.39,443.54,177.42
Alluvial,Isolated (Square),21.16,20,18.01,1.46,2.7,3.0,14.83,6.4,5.39,613.14,204.38
Clayey Loam,Isolated (Square),10.6,20,18.13,0.89,1.38,2.5,14.83,6.4,5.39,327.89,131.16
Clayey Loam,Isolated(Rectangular),23.7,25,18.56,1.85,2.0,3.0,20.72,10.66,10.88,1059.02,353.01
Alluvial,Isolated(Circular),10.95,20,18.73,0.91,1.83,3.0,14.83,6.4,5.39,363.85,121.28
Clayey Loam,Isolated(Rectangular),29.71,20,17.27,1.97,1.95,2.5,14.83,6.4,5.39,749.1,299.64
Alluvial,Strip,25.78,20,18.89,1.53,2.67,3.0,14.83,6.4,5.39,703.21,234.4
Alluvial,Isolated(Circular),18.08,20,17.86,1.64,1.27,3.0,14.83,6.4,5.39,516.71,172.24
Clayey Loam,Isolated(Circular),24.28,20,18.54,2.26,1.09,3.0,14.83,6.4,5.39,682.7,227.57
Silty Clay Loam,Isolated(Rectangular),11.08,20,18.27,1.48,1.23,2.5,14.83,6.4,5.39,397.93,159.17
Clayey Loam,Combined,26.48,25,18.1,2.12,2.36,2.5,20.72,10.66,10.88,1190.09,476.04
Silty Clay Loam,Combined,19.79,30,17.05,2.22,3.0,3.0,30.14,18.4,22.4,1865.81,621.94
Clayey Loam,Isolated(Rectangular),10.73,25,17.17,1.38,2.97,3.0,20.72,10.66,10.88,752.32,250.77
Clayey Loam,Combined,17.68,25,18.83,2.46,1.31,3.0,20.72,10.66,10.88,994.31,331.44
Alluvial,Isolated(Circular),24.58,25,18.32,1.28,1.03,3.0,20.72,10.66,10.88,861.92,287.31
Alluvial,Isolated(Circular),20.95,20,17.01,1.22,1.32,3.0,14.83,6.4,5.39,504.01,168.0
Clayey Loam,Isolated (Square),14.66,30,18.53,1.13,2.36,3.0,30.14,18.4,22.4,1316.91,438.97
Silty Clay Loam,Isolated(Circular),27.09,30,18.5,2.32,1.05,3.0,30.14,18.4,22.4,1823.78,607.93
Alluvial,Isolated (Square),10.11,20,17.14,1.64,2.32,2.5,14.83,6.4,5.39,437.0,174.8
Alluvial,Strip,20.2,20,17.6,1.28,2.93,3.0,14.83,6.4,5.39,582.72,194.24
Alluvial,Combined,21.62,30,18.26,1.44,2.0,2.5,30.14,18.4,22.4,1544.47,617.79
Clayey Loam,Strip,18.06,30,17.42,1.54,2.52,3.0,30.14,18.4,22.4,1529.6,509.87
Clayey Loam,Isolated(Rectangular),13.54,25,17.03,2.13,1.99,3.0,20.72,10.66,10.88,851.59,283.86
Silty Clay Loam,Isolated (Square),22.01,30,17.84,1.59,2.94,2.5,30.14,18.4,22.4,1772.74,709.1
Silty Clay Loam,Strip,19.6,20,17.39,1.12,1.35,2.5,14.83,6.4,5.39,478.59,191.44
Alluvial,Strip,15.45,25,17.54,1.46,1.5,3.0,20.72,10.66,10.88,736.24,245.41
Silty Clay Loam,Strip,24.54,30,18.52,0.92,2.05,2.5,30.14,18.4,22.4,1478.36,591.34
Alluvial,Strip,10.9,30,18.94,1.05,2.58,2.5,30.14,18.4,22.4,1241.74,496.7
Clayey Loam,Isolated(Circular),18.37,20,18.95,0.9,2.31,2.5,14.83,6.4,5.39,499.55,199.82
Silty Clay Loam,Isolated(Rectangular),27.13,30,17.11,1.48,2.48,2.5,30.14,18.4,22.4,1758.89,703.56
Alluvial,Isolated (Square),22.85,20,18.71,1.47,2.79,2.5,14.83,6.4,5.39,655.57,262.23
Alluvial,Isolated(Circular),22.21,25,18.97,1.7,1.92,3.0,20.72,10.66,10.88,1002.1,334.03
Silty Clay Loam,Combined,16.28,30,18.72,2.05,2.12,2.5,30.14,18.4,22.4,1641.29,656.52
Silty Clay Loam,Strip,24.65,30,18.65,2.4,1.33,3.0,30.14,18.4,22.4,1844.35,614.78
Clayey Loam,Isolated(Rectangular),23.23,25,18.5,2.07,1.86,3.0,20.72,10.66,10.88,1076.74,358.91
Alluvial,Isolated(Circular),26.43,30,17.73,1.51,1.75,3.0,30.14,18.4,22.4,1636.72,545.57
Clayey Loam,Strip,22.01,25,17.49,2.03,2.52,2.5,20.72,10.66,10.88,1074.29,429.72
Silty Clay Loam,Isolated (Square),24.69,30,17.84,0.86,2.45,3.0,30.14,18.4,22.4,1515.99,505.33
Clayey Loam,Isolated(Circular),19.51,30,17.98,1.21,2.23,3.0,30.14,18.4,22.4,1437.41,479.14
Alluvial,Isolated (Square),19.96,30,18.41,1.9,1.33,3.0,30.14,18.4,22.4,1519.44,506.48
Alluvial,Combined,21.08,25,17.44,1.56,2.7,3.0,20.72,10.66,10.88,982.96,327.65
Alluvial,Isolated (Square),26.58,30,18.38,2.23,1.79,3.0,30.14,18.4,22.4,1923.77,641.26
Clayey Loam,Strip,19.68,25,18.59,2.02,2.2,3.0,20.72,10.66,10.88,1030.56,343.52
Silty Clay Loam,Combined,24.48,25,17.11,1.23,2.24,3.0,20.72,10.66,10.88,940.06,313.35
Alluvial,Isolated(Circular),21.71,25,18.94,1.13,1.45,2.5,20.72,10.66,10.88,827.38,330.95
Alluvial,Isolated(Circular),15.61,25,17.62,1.84,1.47,3.0,20.72,10.66,10.88,809.95,269.98
Alluvial,Combined,15.49,25,18.48,1.07,2.87,2.5,20.72,10.66,10.88,820.26,328.1
Clayey Loam,Isolated (Square),29.28,20,18.44,1.07,2.0,2.5,14.83,6.4,5.39,659.89,263.96
Silty Clay Loam,Isolated(Circular),24.38,30,18.12,2.27,1.12,2.5,30.14,18.4,22.4,1718.95,687.58
Silty Clay Loam,Isolated(Rectangular),22.71,20,18.32,1.44,1.46,3.0,14.83,6.4,5.39,577.71,192.57
Clayey Loam,Isolated (Square),22.2,20,17.92,2.09,1.6,3.0,14.83,6.4,5.39,646.19,215.4
Clayey Loam,Isolated(Rectangular),24.53,25,18.95,1.3,1.91,2.5,20.72,10.66,10.88,967.77,387.11
Clayey Loam,Isolated(Circular),28.62,30,17.52,1.44,1.17,3.0,30.14,18.4,22.4,1556.4,518.8
Alluvial,Isolated (Square),19.08,20,17.04,2.03,1.59,3.0,14.83,6.4,5.39,577.36,192.45
Clayey Loam,Isolated(Circular),16.19,30,17.8,2.24,2.09,3.0,30.14,18.4,22.4,1638.27,546.09
Clayey Loam,Isolated(Circular),15.16,25,18.23,2.26,1.81,3.0,20.72,10.66,10.88,932.8,310.93
Silty Clay Loam,Isolated(Rectangular),29.2,25,18.92,1.89,2.52,3.0,20.72,10.66,10.88,1245.58,415.19
Clayey Loam,Strip,26.17,20,18.46,2.13,1.82,3.0,14.83,6.4,5.39,730.29,243.43
Silty Clay Loam,Isolated(Circular),16.64,25,18.6,2.46,1.11,2.5,20.72,10.66,10.88,944.85,377.94
Alluvial,Isolated(Circular),11.76,30,17.02,1.4,2.45,3.0,30.14,18.4,22.4,1259.91,419.97
Alluvial,Isolated(Circular),20.93,20,18.19,1.28,1.38,2.5,14.83,6.4,5.39,527.05,210.82
Clayey Loam,Isolated(Circular),12.75,25,18.67,2.3,2.36,2.5,20.72,10.66,10.88,961.62,384.65
Silty Clay Loam,Strip,28.12,20,18.37,1.35,2.38,3.0,14.83,6.4,5.39,693.56,231.19
Alluvial,Isolated(Rectangular),21.7,30,18.56,1.7,2.23,2.5,30.14,18.4,22.4,1698.15,679.26
Alluvial,Isolated(Circular),19.49,30,18.19,1.74,1.38,2.5,30.14,18.4,22.4,1450.94,580.38
Clayey Loam,Isolated(Rectangular),21.32,25,17.97,1.97,2.56,2.5,20.72,10.66,10.88,1069.38,427.75
Alluvial,Isolated(Rectangular),27.58,30,18.05,2.39,2.09,3.0,30.14,18.4,22.4,2047.54,682.51
Silty Clay Loam,Isolated(Circular),14.72,25,18.26,1.49,1.69,3.0,20.72,10.66,10.88,762.9,254.3
Clayey Loam,Isolated(Rectangular),28.1,30,18.65,2.35,1.27,3.0,30.14,18.4,22.4,1918.64,639.55
Silty Clay Loam,Strip,22.21,20,18.83,2.1,2.03,3.0,14.83,6.4,5.39,685.47,228.49
Silty Clay Loam,Combined,21.51,25,17.28,1.18,3.0,3.0,20.72,10.66,10.88,945.06,315.02
Clayey Loam,Strip,15.11,30,18.4,1.35,2.34,2.5,30.14,18.4,22.4,1394.7,557.88
Clayey Loam,Combined,14.67,20,17.93,1.3,2.27,2.5,14.83,6.4,5.39,476.42,190.57
Alluvial,Combined,15.76,20,18.85,0.82,1.08,3.0,14.83,6.4,5.39,387.51,129.17
Clayey Loam,Isolated (Square),19.08,25,17.3,1.05,2.3,3.0,20.72,10.66,10.88,805.43,268.48
Clayey Loam,Combined,21.31,25,17.09,1.08,1.41,3.0,20.72,10.66,10.88,769.38,256.46
Clayey Loam,Isolated(Rectangular),12.47,25,18.18,1.52,1.9,3.0,20.72,10.66,10.88,740.86,246.95
Silty Clay Loam,Isolated(Circular),29.79,20,18.54,1.5,2.7,2.5,14.83,6.4,5.39,754.68,301.87
Clayey Loam,Strip,19.24,20,17.86,1.06,2.84,2.5,14.83,6.4,5.39,543.19,217.28
Alluvial,Isolated(Rectangular),13.81,20,18.3,2.38,1.92,2.5,14.83,6.4,5.39,578.24,231.3
Silty Clay Loam,Isolated(Circular),28.97,20,17.5,1.08,1.27,2.5,14.83,6.4,5.39,610.48,244.19
Silty Clay Loam,Isolated(Rectangular),24.02,25,18.12,1.34,1.44,3.0,20.72,10.66,10.88,898.47,299.49
Clayey Loam,Strip,17.25,30,17.37,0.97,1.94,3.0,30.14,18.4,22.4,1207.35,402.45
Silty Clay Loam,Combined,24.93,20,17.17,0.9,1.69,3.0,14.83,6.4,5.39,546.81,182.27
Silty Clay Loam,Combined,10.97,20,18.6,1.44,1.19,2.5,14.83,6.4,5.39,393.75,157.5
Clayey Loam,Isolated(Circular),18.81,20,18.0,1.66,1.57,2.5,14.83,6.4,5.39,546.35,218.54
Alluvial,Combined,19.08,25,18.09,2.46,1.49,2.5,20.72,10.66,10.88,1016.35,406.54
Clayey Loam,Isolated (Square),11.56,20,17.44,1.78,1.07,3.0,14.83,6.4,5.39,420.4,140.13
Clayey Loam,Isolated(Rectangular),14.34,20,17.06,2.15,1.02,2.5,14.83,6.4,5.39,494.3,197.72
Alluvial,Isolated(Rectangular),25.94,30,18.36,1.65,2.9,3.0,30.14,18.4,22.4,1935.57,645.19
Clayey Loam,Isolated(Rectangular),29.03,25,18.92,1.9,1.62,3.0,20.72,10.66,10.88,1151.45,383.82
Clayey Loam,Isolated(Rectangular),20.47,30,18.84,2.01,1.52,3.0,30.14,18.4,22.4,1634.48,544.83
Alluvial,Strip,19.06,20,18.68,1.0,1.96,3.0,14.83,6.4,5.39,500.88,166.96
Alluvial,Isolated (Square),20.27,25,18.47,2.27,2.92,2.5,20.72,10.66,10.88,1160.33,464.13
Silty Clay Loam,Combined,18.56,25,17.39,1.23,2.01,3.0,20.72,10.66,10.88,802.73,267.58
Alluvial,Isolated(Circular),13.64,30,17.89,2.15,1.33,2.5,30.14,18.4,22.4,1385.33,554.13
Alluvial,Strip,18.65,25,17.82,0.92,1.96,3.0,20.72,10.66,10.88,751.2,250.4
Alluvial,Combined,16.66,20,18.57,1.93,1.7,3.0,14.83,6.4,5.39,561.52,187.17
Clayey Loam,Isolated(Circular),24.92,20,18.98,1.79,1.05,3.0,14.83,6.4,5.39,640.71,213.57
Clayey Loam,Isolated(Circular),14.71,30,17.61,1.67,2.64,2.5,30.14,18.4,22.4,1505.17,602.07
Silty Clay Loam,Isolated(Circular),12.16,20,17.84,2.14,2.94,3.0,14.83,6.4,5.39,566.02,188.67
Clayey Loam,Strip,20.63,25,17.88,1.04,1.35,3.0,20.72,10.66,10.88,756.99,252.33
Alluvial,Combined,17.07,25,17.59,1.72,2.85,2.5,20.72,10.66,10.88,948.92,379.57
Silty Clay Loam,Strip,29.4,20,17.73,1.72,2.69,2.5,14.83,6.4,5.39,759.71,303.88
Alluvial,Isolated(Rectangular),12.15,30,18.59,1.31,1.58,2.5,30.14,18.4,22.4,1143.26,457.3
Alluvial,Combined,20.34,25,18.7,2.2,1.99,3.0,20.72,10.66,10.88,1062.44,354.15
Clayey Loam,Isolated (Square),28.17,25,17.97,1.4,1.08,3.0,20.72,10.66,10.88,957.44,319.15
Clayey Loam,Isolated(Circular),14.01,20,17.28,2.36,2.97,2.5,14.83,6.4,5.39,607.08,242.83
Alluvial,Isolated(Circular),27.19,20,18.66,1.64,2.46,2.5,14.83,6.4,5.39,722.79,289.12
Silty Clay Loam,Combined,25.64,30,18.9,1.07,2.56,3.0,30.14,18.4,22.4,1686.79,562.26
Clayey Loam,Isolated (Square),29.18,30,17.12,1.01,2.96,2.5,30.14,18.4,22.4,1765.21,706.08
Silty Clay Loam,Isolated (Square),26.7,25,17.37,2.02,2.93,2.5,20.72,10.66,10.88,1204.12,481.65
Alluvial,Isolated (Square),16.74,20,18.46,2.16,2.45,2.5,14.83,6.4,5.39,625.33,250.13
Silty Clay Loam,Isolated(Circular),15.68,25,17.25,1.37,2.72,2.5,20.72,10.66,10.88,832.06,332.82
Silty Clay Loam,Isolated(Circular),24.7,25,18.8,1.76,2.42,2.5,20.72,10.66,10.88,1112.0,444.8
Alluvial,Isolated (Square),28.1,25,17.9,1.42,1.09,3.0,20.72,10.66,10.88,959.33,319.78
Alluvial,Strip,15.88,20,18.28,1.69,1.34,2.5,14.83,6.4,5.39,499.23,199.69
Silty Clay Loam,Strip,29.72,20,17.78,1.41,1.35,2.5,14.83,6.4,5.39,665.88,266.35
Clayey Loam,Strip,11.16,25,18.86,1.0,1.46,2.5,20.72,10.66,10.88,582.08,232.83
Clayey Loam,Isolated (Square),12.28,30,17.94,2.33,2.96,3.0,30.14,18.4,22.4,1733.99,578.0
Silty Clay Loam,Isolated(Circular),20.07,30,18.35,1.04,2.63,3.0,30.14,18.4,22.4,1496.57,498.86
Silty Clay Loam,Isolated (Square),13.02,25,18.44,1.71,1.54,2.5,20.72,10.66,10.88,760.39,304.16
Alluvial,Combined,18.11,30,18.4,2.04,2.95,3.0,30.14,18.4,22.4,1844.43,614.81
Clayey Loam,Strip,25.11,25,17.4,1.56,2.62,2.5,20.72,10.66,10.88,1057.63,423.05
Alluvial,Combined,19.77,20,17.11,1.91,1.9,3.0,14.83,6.4,5.39,589.95,196.65
Clayey Loam,Isolated (Square),27.21,30,17.99,1.37,2.6,3.0,30.14,18.4,22.4,1797.47,599.16
Clayey Loam,Combined,18.45,25,17.88,1.55,1.26,3.0,20.72,10.66,10.88,800.27,266.76
Alluvial,Combined,12.98,20,17.29,0.8,2.87,3.0,14.83,6.4,5.39,414.75,138.25
Clayey Loam,Strip,26.95,30,17.35,1.77,2.33,2.5,30.14,18.4,22.4,1830.09,732.04
Silty Clay Loam,Combined,19.1,30,17.53,1.25,2.46,2.5,30.14,18.4,22.4,1461.85,584.74
Alluvial,Isolated(Rectangular),23.96,30,18.21,2.47,2.57,3.0,30.14,18.4,22.4,2073.92,691.31
Silty Clay Loam,Isolated (Square),29.83,20,17.91,1.39,1.48,2.5,14.83,6.4,5.39,673.14,269.26
Clayey Loam,Isolated (Square),24.14,30,18.6,0.89,2.63,3.0,30.14,18.4,22.4,1580.05,526.68
Silty Clay Loam,Isolated(Circular),11.13,25,18.77,1.82,1.4,2.5,20.72,10.66,10.88,737.73,295.09
Alluvial,Isolated(Rectangular),28.84,20,17.3,0.98,1.65,2.5,14.83,6.4,5.39,613.13,245.25
Alluvial,Strip,27.16,20,17.79,1.08,2.94,3.0,14.83,6.4,5.39,666.7,222.23
Silty Clay Loam,Strip,28.65,30,18.81,1.07,1.21,3.0,30.14,18.4,22.4,1488.76,496.25
Clayey Loam,Combined,12.86,20,18.15,1.51,2.79,3.0,14.83,6.4,5.39,502.59,167.53
Alluvial,Strip,29.2,25,17.77,2.14,2.24,3.0,20.72,10.66,10.88,1226.94,408.98
Alluvial,Strip,15.69,20,17.5,1.49,1.51,2.5,14.83,6.4,5.39,470.78,188.31
Alluvial,Isolated (Square),21.94,20,18.75,1.81,1.31,2.5,14.83,6.4,5.39,608.77,243.51
Silty Clay Loam,Strip,22.76,30,17.85,1.35,1.74,3.0,30.14,18.4,22.4,1477.24,492.41
Silty Clay Loam,Isolated(Rectangular),19.37,30,17.31,1.02,1.78,3.0,30.14,18.4,22.4,1253.78,417.93
Silty Clay Loam,Combined,22.3,30,18.14,0.89,2.36,3.0,30.14,18.4,22.4,1448.66,482.89
Silty Clay Loam,Isolated (Square),11.57,20,17.08,1.61,2.47,3.0,14.83,6.4,5.39,461.27,153.76
Silty Clay Loam,Isolated(Circular),10.38,30,17.98,1.91,2.59,2.5,30.14,18.4,22.4,1466.31,586.52
Alluvial,Strip,28.71,20,17.68,2.3,2.99,3.0,14.83,6.4,5.39,828.49,276.16
Silty Clay Loam,Strip,10.03,30,18.29,1.9,1.39,2.5,30.14,18.4,22.4,1226.46,490.58
Alluvial,Isolated(Rectangular),23.4,25,18.87,0.96,2.19,2.5,20.72,10.66,10.88,902.77,361.11
Clayey Loam,Isolated(Circular),22.49,30,19.0,1.9,2.17,2.5,30.14,18.4,22.4,1803.86,721.54
Silty Clay Loam,Isolated (Square),22.82,20,18.23,2.49,1.49,3.0,14.83,6.4,5.39,702.14,234.05
Alluvial,Isolated(Circular),15.98,30,17.22,1.32,1.8,3.0,30.14,18.4,22.4,1247.03,415.68
Alluvial,Isolated(Rectangular),17.34,25,17.29,1.39,2.76,2.5,20.72,10.66,10.88,875.08,350.03
Silty Clay Loam,Isolated(Rectangular),14.37,20,18.77,1.59,2.16,3.0,14.83,6.4,5.39,513.37,171.12
Alluvial,Isolated(Rectangular),19.8,20,18.4,2.08,1.94,3.0,14.83,6.4,5.39,634.78,211.59
Clayey Loam,Isolated (Square),16.45,30,18.94,0.86,2.38,3.0,30.14,18.4,22.4,1300.37,433.46
Clayey Loam,Strip,28.25,25,17.58,1.11,1.8,3.0,20.72,10.66,10.88,965.5,321.83
Alluvial,Isolated (Square),24.66,25,17.21,2.24,2.24,2.5,20.72,10.66,10.88,1131.62,452.65
Alluvial,Combined,27.82,20,17.44,1.27,2.41,2.5,14.83,6.4,5.39,667.59,267.04
Alluvial,Isolated (Square),10.48,25,17.64,1.82,2.84,3.0,20.72,10.66,10.88,831.91,277.3
Clayey Loam,Combined,18.5,30,18.88,1.39,2.16,2.5,30.14,18.4,22.4,1497.21,598.88
Alluvial,Isolated(Rectangular),17.18,30,17.7,0.85,1.92,2.5,30.14,18.4,22.4,1175.25,470.1
Clayey Loam,Isolated (Square),13.51,30,18.16,2.14,1.33,3.0,30.14,18.4,22.4,1392.77,464.26
Silty Clay Loam,Isolated (Square),15.96,20,18.52,2.12,1.0,3.0,14.83,6.4,5.39,537.88,179.29
Alluvial,Isolated(Circular),11.54,25,18.8,1.13,1.36,3.0,20.72,10.66,10.88,604.66,201.55
Clayey Loam,Strip,12.82,20,17.37,1.01,1.21,3.0,14.83,6.4,5.39,359.04,119.68
Clayey Loam,Strip,28.02,30,18.96,1.49,1.25,3.0,30.14,18.4,22.4,1629.77,543.26
Clayey Loam,Strip,15.13,20,18.5,1.02,2.8,2.5,14.83,6.4,5.39,484.75,193.9
Clayey Loam,Isolated (Square),20.56,30,17.46,2.43,1.77,3.0,30.14,18.4,22.4,1746.48,582.16
Alluvial,Strip,14.0,30,17.41,1.07,1.36,2.5,30.14,18.4,22.4,1029.92,411.97
Silty Clay Loam,Combined,29.51,30,17.32,1.59,1.01,3.0,30.14,18.4,22.4,1592.07,530.69
Silty Clay Loam,Isolated (Square),10.19,30,17.93,1.28,2.21,2.5,30.14,18.4,22.4,1173.22,469.29
Clayey Loam,Isolated (Square),16.91,25,18.84,1.37,2.1,3.0,20.72,10.66,10.88,840.75,280.25
Alluvial,Strip,23.04,30,17.27,1.95,2.33,3.0,30.14,18.4,22.4,1764.75,588.25
Alluvial,Isolated(Circular),15.78,25,18.0,0.94,1.03,2.5,20.72,10.66,10.88,608.19,243.28
Clayey Loam,Isolated(Rectangular),28.38,20,18.2,2.25,1.43,2.5,14.83,6.4,5.39,753.1,301.24
Clayey Loam,Combined,17.81,20,18.18,1.43,1.96,3.0,14.83,6.4,5.39,526.54,175.51
Alluvial,Isolated (Square),18.83,20,18.92,2.04,2.88,2.5,14.83,6.4,5.39,673.12,269.25
Clayey Loam,Strip,10.14,20,18.78,0.95,1.18,2.5,14.83,6.4,5.39,324.28,129.71
Clayey Loam,Isolated(Rectangular),22.86,25,18.97,2.42,2.49,3.0,20.72,10.66,10.88,1219.99,406.66
Clayey Loam,Combined,25.72,30,18.14,1.55,1.47,2.5,30.14,18.4,22.4,1591.21,636.48
Clayey Loam,Isolated(Circular),28.18,30,18.4,2.06,2.57,2.5,30.14,18.4,22.4,2076.4,830.56
Alluvial,Isolated (Square),15.41,20,18.06,0.87,1.57,3.0,14.83,6.4,5.39,405.5,135.17
Clayey Loam,Isolated(Rectangular),28.05,20,17.94,1.51,2.11,3.0,14.83,6.4,5.39,691.37,230.46
Silty Clay Loam,Isolated(Circular),22.75,30,18.75,1.29,1.61,3.0,30.14,18.4,22.4,1468.84,489.61
Clayey Loam,Strip,12.79,30,18.84,2.46,1.51,2.5,30.14,18.4,22.4,1556.89,622.76
Silty Clay Loam,Strip,19.7,30,18.28,1.66,1.4,2.5,30.14,18.4,22.4,1438.73,575.49
Silty Clay Loam,Isolated (Square),22.57,20,17.47,2.32,2.56,2.5,14.83,6.4,5.39,714.64,285.86
Silty Clay Loam,Strip,16.82,20,17.66,2.3,1.38,3.0,14.83,6.4,5.39,575.08,191.69
Silty Clay Loam,Combined,25.68,20,17.78,0.9,2.42,2.5,14.83,6.4,5.39,599.21,239.68
Alluvial,Isolated(Rectangular),12.63,25,18.22,1.53,1.8,3.0,20.72,10.66,10.88,737.27,245.76
Clayey Loam,Combined,11.43,30,17.84,1.19,2.83,2.5,30.14,18.4,22.4,1300.58,520.23
Clayey Loam,Isolated (Square),11.53,20,18.05,1.15,2.05,2.5,14.83,6.4,5.39,403.56,161.42
Clayey Loam,Isolated(Rectangular),12.96,25,17.23,1.09,1.9,2.5,20.72,10.66,10.88,646.82,258.73
Clayey Loam,Isolated (Square),13.2,20,17.51,0.87,2.95,3.0,14.83,6.4,5.39,432.46,144.15
Alluvial,Isolated(Rectangular),21.13,30,18.3,1.2,2.01,3.0,30.14,18.4,22.4,1452.89,484.3
Alluvial,Isolated(Circular),11.22,30,17.4,2.46,2.32,3.0,30.14,18.4,22.4,1577.89,525.96
Alluvial,Isolated(Rectangular),11.25,25,18.18,1.54,1.95,2.5,20.72,10.66,10.88,724.4,289.76
Clayey Loam,Strip,25.98,25,17.98,1.65,1.11,2.5,20.72,10.66,10.88,963.13,385.25
Clayey Loam,Combined,12.95,30,18.88,2.2,2.77,3.0,30.14,18.4,22.4,1740.31,580.1
Clayey Loam,Isolated(Circular),14.55,20,18.41,1.64,2.79,3.0,14.83,6.4,5.39,547.43,182.48
Silty Clay Loam,Isolated(Circular),29.18,30,17.53,0.91,2.2,2.5,30.14,18.4,22.4,1604.95,641.98
Clayey Loam,Isolated (Square),21.49,30,17.02,2.3,1.77,2.5,30.14,18.4,22.4,1705.4,682.16
Clayey Loam,Strip,19.63,20,17.34,2.47,2.82,2.5,14.83,6.4,5.39,697.01,278.8
Alluvial,Isolated(Rectangular),14.86,30,17.89,2.05,1.54,3.0,30.14,18.4,22.4,1431.26,477.09
Silty Clay Loam,Isolated(Circular),10.64,25,17.43,1.91,2.27,2.5,20.72,10.66,10.88,790.59,316.24
Silty Clay Loam,Isolated (Square),13.69,30,17.39,1.31,1.9,3.0,30.14,18.4,22.4,1201.84,400.61
Clayey Loam,Isolated(Rectangular),29.01,25,18.07,2.15,2.72,2.5,20.72,10.66,10.88,1282.61,513.04
Clayey Loam,Strip,27.1,25,18.33,0.95,2.86,3.0,20.72,10.66,10.88,1032.33,344.11
Alluvial,Isolated (Square),20.44,30,18.11,1.89,1.08,3.0,30.14,18.4,22.4,1464.91,488.3
Alluvial,Isolated(Rectangular),18.38,30,17.69,1.99,1.83,3.0,30.14,18.4,22.4,1564.28,521.43
Clayey Loam,Isolated(Rectangular),25.43,30,18.55,0.89,1.3,3.0,30.14,18.4,22.4,1340.32,446.77
Silty Clay Loam,Isolated(Rectangular),29.77,20,18.65,1.11,2.91,3.0,14.83,6.4,5.39,720.24,240.08
Silty Clay Loam,Strip,29.76,30,18.49,2.23,2.6,2.5,30.14,18.4,22.4,2194.08,877.63
Alluvial,Isolated(Circular),27.08,25,17.4,1.86,1.89,2.5,20.72,10.66,10.88,1085.0,434.0
Silty Clay Loam,Isolated (Square),12.94,25,17.78,2.41,1.1,3.0,20.72,10.66,10.88,831.29,277.1
Alluvial,Isolated(Rectangular),15.53,30,18.87,1.13,2.27,2.5,30.14,18.4,22.4,1340.17,536.07
Silty Clay Loam,Isolated(Rectangular),21.88,25,18.66,2.42,2.67,2.5,20.72,10.66,10.88,1205.76,482.3
Clayey Loam,Combined,26.38,20,18.57,2.16,1.81,3.0,14.83,6.4,5.39,738.51,246.17
Clayey Loam,Isolated(Circular),23.56,30,17.54,1.05,2.19,3.0,30.14,18.4,22.4,1479.19,493.06
Silty Clay Loam,Isolated(Rectangular),27.01,30,18.48,0.83,2.69,3.0,30.14,18.4,22.4,1653.07,551.02
Alluvial,Strip,17.32,25,18.38,2.25,1.98,3.0,20.72,10.66,10.88,997.69,332.56
Alluvial,Combined,14.55,30,18.59,1.16,2.58,3.0,30.14,18.4,22.4,1372.5,457.5
Silty Clay Loam,Isolated (Square),21.05,30,18.6,1.77,2.59,3.0,30.14,18.4,22.4,1779.76,593.25
